Wk#,Partner,Client,SSL,Job Dte(dd/mm/yyyy),Choice Pro#,Invoice#,Inv Dte(dd/mm/yyyy),Category,Qty,Wght,Job Time(Military hh:mm),Origin/Destination,FOB$,CIF$,AWB#,Kilo/Mile (One Way),Hndlng Base Chg,Hndlng Exc Pcs Chg,Hndlng OCPU/WC,Transp Base Chg(G Tkt),Transp Exc Mls Chg(G Tkt),Fuel Chg,Aft. Hrs/weekend/holiday,Wait Time,Secrty/Tolls Chg, 3rd Party/Freight Transp.Chg(Z Tkt) , Freight Fuel Surchg ,Cust. Clr,Duty,Imp/ Exp Vat,GST,Consump Tax,IOR Chg,Broker Chg,Cust. Storg Chg,Permit/ License Chg,K1 Form Chg,Layout Fee,Wire Chg,Labor Chg,Labor # hrs,Total Charge,Comments
49,HIT52278,HITACHI ,LNZ ,44169,ZAA4CVMU,2020-1125895,0,IRP ,1,,0.304166667,PASCHING AT 4061 AT,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,HIT52278,HITACHI ,MAG ,44169,ZAA4CVMX,2020-1125895,0,IRP ,1,,0.295138889,BARLEBEN DE 39179 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,ELE52240,ELP     ,MUC ,44167,ZAA4CLYZ,2020-1125895,0,IRI ,1,,0.304166667,MUNCHEN DE 80939 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,ELE52240,ELP     ,MUC ,44166,ZAA4CPK8,2020-1125895,0,STND,1,,0.404861111,FRANKFURT AM MAIN  60431 DE 60431 DE,0,0,0,     ,3.91,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,,0,17.1764,
49,ELE52240,ELP     ,MUC ,44168,ZAA4CTBS,2020-1125895,0,STND,4,,0.140972222,BAYREUTH  95445 DE 95445 DE,0,0,0,     ,15.64,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,,0,28.9064,
49,ELE52240,ELP     ,MUC ,44168,ZAA4CTE1,2020-1125895,0,STND,1,3,0.186111111,BAYREUTH  95445 DE 95445 DE,0,0,0,     ,3.91,,,,,,,,0,14.74,0.4422,0,0,0,0,0,0,0,0,0,0,0,0,,0,19.0922,
49,ELE52240,ELP     ,MUC ,44168,ZAA4CTPK,2020-1125895,0,STND,1,,0.377083333,AACHEN  52074 DE 52074 DE,0,0,0,     ,3.91,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,,0,17.1764,
49,ELE52240,ELP     ,MUC ,44169,ZAA4CVX7,2020-1125895,0,STND,1,,0.279861111,WEIDEN ID. OPF  92637 DE 92637 DE,0,0,0,     ,3.91,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,,0,17.1764,
49,ELE52240,ELP     ,MUC ,44169,ZAA4CWVF,2020-1125895,0,XFRG,1,,0.498611111,TILBURG NL 5048 CC NL,0,0,0,     ,3.91,,,,,,,,0,15.5,0.465,0,0,0,0,0,0,0,0,0,0,0,0,,0,19.875,
49,INF52294,INFINERA,MUC ,44166,G6595408,2020-1125895,0,PICK,1,,0.3125,Fischbachau DE 83730 DE,0,0,0,82,3.91,,,39.55,62,,82.4,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,187.86,
49,ISR52307,RADWARE ,MUC ,44167,ZAA4CRDL,2020-1125895,0,OCPU,1,,0.286805556,Rozenburg NL 1437 EK NL,0,0,0,     ,3.91,,,,,,,,0,15.5,0.465,0,0,0,0,0,0,0,0,0,0,0,0,,0,19.875,
49,PAR52372,PPT EURO,MUC ,44167,ZAA4CPJ8,2020-1125895,0,IRP ,11,,0.327083333,MUNCHEN DE 80939 DE,0,0,0,0,43.01,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,43.01,
49,INF52294,INFINERA,NUE ,44166,ZAA4CKEH,2020-1125895,0,IRI ,1,,0.180555556,NUREMBERG DE 90425 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,INF52413,EMEA DEP,NUE ,44168,ZAA4CTRQ,2020-1125895,0,OCPU,1,,0.402083333,Nuernberg DE 90441 DE,0,0,0,0,3.91,,,39.55,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,90,0,133.46,90Û 6 pallets storage service
50,INF52413,EMEA DEP,BER ,44172,ZAA4D0H4,2020-1125895,0,XFRG,1,,0.204166667,DUSSELDORF DE 40589 DE,0,0,0,     ,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,PAR52372,PPT EURO,BER ,44172,G6596940,2020-1125895,0,PICK,1,,0.666666667,STOLLBERG/ERZGEB. DE 09366 DE,0,0,0,290,3.91,,,39.55,319.92,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,363.38,
50,PAR52372,PPT EURO,BER ,44174,ZAA4CZT5,2020-1125895,0,BIRP,37,,0.215972222,BERLIN DE 13629 DE,0,0,0,0,144.67,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,144.67,
50,PAR52372,PPT EURO,BER ,44174,ZAA4D4MV,2020-1125895,0,OCPU,4,,0.393055556,OUDE MEER NL 1438 BC NL,0,0,0,     ,15.64,,,,,,,,0,5.15,0.1545,0,0,0,0,0,0,0,0,0,0,0,0,,0,20.9445,
50,PAR52372,PPT EURO,BER ,44175,ZAA4D6WH,2020-1125895,0,OCPU,2,,0.397916667,OSTERODE AM HARZ DE 37520 DE,0,0,0,     ,7.82,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,,0,21.0864,
50,ZEN52353,ZENSAR  ,BER ,44174,ZAA4D36H,2020-1125895,0,OCCO,2,,0.589583333,Zaventem BE 1932 BE,0,0,0,     ,7.82,,,,,,,,0,5.15,0.1545,0,0,0,0,0,0,0,0,0,0,0,0,,0,13.1245,
50,INF52294,INFINERA,DUS ,44176,G6598178,2020-1125895,0,PICK,1,,0.865972222,Bielefeld DE 33605 DE,0,0,0,174,3.91,,,39.55,176.08,,82.4,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,301.94,
50,INF52413,EMEA DEP,DUS ,44172,ZAA4D0HC,2020-1125895,0,OCPU,1,,0.207638889,MUENCHEN DE 81541 DE,0,0,0,     ,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,ZEN52353,ZENSAR  ,DUS ,44172,G6596947,2020-1125895,0,PICK,1,,0.603472222,Koln DE 51149 DE,0,0,0,42,3.91,,,39.55,12.4,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,55.86,
50,ZEN52353,ZENSAR  ,DUS ,44176,G6598086,2020-1125895,0,PICK,1,,0.569444444,Rotterdam NL 3088 GG NL,0,0,0,237,3.91,,,39.55,254.2,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,297.66,
50,INF52413,EMEA DEP,ERF ,44172,ZAA4D0H6,2020-1125895,0,OCPU,1,,0.205555556,MUENCHEN DE 81541 DE,0,0,0,     ,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,CEN52300,CNTRCSIT,FRA ,44175,ZAA4CSBE,2020-1125895,0,IRP ,2,,0.224305556,MAINZ DE 55120 DE,0,0,0,0,7.82,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7.82,
50,ELE52240,ELP     ,FRA ,44173,G6597229,2020-1125895,0,PICK,3,,0.6875,K?LN-MERHEIM  51109 DE 51109 DE,0,0,0,177,11.73,,,39.55,179.8,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,235.97,repackaging
50,ELE52240,ELP     ,FRA ,44174,G6597517,2020-1125895,0,PICK,1,,0.675,WEINHEIM  69469 DE 69469 DE,0,0,0,87,3.91,,,39.55,68.2,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,111.66,
50,ELE52240,ELP     ,FRA ,44172,ZAA4B21E,2020-1125895,0,IRP ,1,,0.330555556,MAINZ DE 55120 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,ELE52240,ELP     ,FRA ,44172,ZAA4CCK9,2020-1125895,0,IRP ,1,,0.538888889,MAINZ DE 55120 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,ELE52240,ELP     ,FRA ,44176,ZAA4CFNP,2020-1125895,0,IRP ,1,,0.525694444,MAINZ DE 55120 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,ELE52240,ELP     ,FRA ,44172,ZAA4CKTF,2020-1125895,0,IRP ,3,,0.536111111,MAINZ DE 55120 DE,0,0,0,0,11.73,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11.73,
50,ELE52240,ELP     ,FRA ,44172,ZAA4CKWU,2020-1125895,0,IRP ,1,,0.540277778,MAINZ DE 55120 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,ELE52240,ELP     ,FRA ,44172,ZAA4CQ0L,2020-1125895,0,IRP ,1,,0.532638889,MAINZ DE 55120 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,ELE52240,ELP     ,FRA ,44174,ZAA4CRCT,2020-1125895,0,IRP ,2,,0.509722222,MAINZ DE 55120 DE,0,0,0,0,7.82,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7.82,
50,ELE52240,ELP     ,FRA ,44175,ZAA4CTC9,2020-1125895,0,IRP ,2,,0.545833333,MAINZ DE 55120 DE,0,0,0,0,7.82,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7.82,
50,ELE52240,ELP     ,FRA ,44175,ZAA4CTEE,2020-1125895,0,IRP ,1,,0.55,MAINZ DE 55120 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,ELE52240,ELP     ,FRA ,44175,ZAA4CTVL,2020-1125895,0,IRP ,6,,0.538888889,MAINZ DE 55120 DE,0,0,0,0,23.46,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,23.46,
50,ELE52240,ELP     ,FRA ,44174,ZAA4CVV3,2020-1125895,0,IRP ,10,,0.514583333,MAINZ DE 55120 DE,0,0,0,0,39.1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,39.1,
50,ELE52240,ELP     ,FRA ,44172,ZAA4CVVP,2020-1125895,0,IRI ,1,,0.224305556,MAINZ DE 55120 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
50,ELE52240,ELP     ,FRA ,44174,ZAA4CZVE,2020-1125895,0,IRP ,8,,0.440277778,MAINZ DE 55120 DE,0,0,0,0,31.28,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,31.28,
50,ELE52240,ELP     ,FRA ,44172,ZAA4D0DD,2020-1125895,0,STND,1,,0.161805556,REGENSBURG  93053 DE 93053 DE,0,0,0,     ,3.91,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,22.0664,repackaging
50,ELE52240,ELP     ,FRA ,44174,ZAA4D0E5,2020-1125895,0,IRP ,4,,0.518055556,MAINZ DE 55120 DE,0,0,0,0,15.64,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15.64,
